Neighborhood Tabulation Area Code (NTA Code),Neighborhood Tabulation Area Name (NTA NAME),Borough Name,Total Population,Population Density (per Sq. Mi.),Total Number of Households,Area (Sq. Mi.),Street Mileage,Home Broadband Adoption (Percentage of Households),"Home Broadband Adoption by Quartiles (High, Medium-High, Medium-Low, Low)",Mobile Broadband Adoption (Percentage of Households),"Mobile broadband adoption by Quartiles (High, Medium-High, Medium-Low, Low)",Mobile Dependent Households (Percentage of Households),"Mobile Dependent Households Categorized by Quartiles (High, Medium-High, Medium-Low, Low)",Residential Broadband Choice Average by NTA,"Residential Broadband Choice Average by Quartiles (High, Medium-High, Medium-Low, Low)",Commercial Fiber ISP Choice Average by NTA,"Commercial Fiber Choice Average by Quartiles (High, Medium-High, Medium-Low, Low)",Commercial Fiber Max ISP Choice by NTA,"Commercial Fiber Max ISP Choice by Quartiles (High, Medium-High, Medium-Low, Low)",Percentage of Blocks without a Commercial Fiber Provider,Percentage of Blocks without a Commercial Fiber Provider by Quartiles,Percentage of Blocks with ISP Reported Speed Availability of >=25 Mbps (Broadband Speed),Percentage of Blocks with ISP Reported Speed Availability of >=900 Mbps,Number of Public Computer Centers with free public Wi-Fi,Public Wi-Fi in NYC Count,Number of Free Public Wi-Fi Access Points in a Pedestrian Corridor,Available Free Public Wi-Fi in a Pedestrian Corridor (Y/N),Estimated Number of Businesses,Number of Households,Total Accounts,Account Density,Account Density Quartile,Population Projections 2050,Households Receiving Benefits,Estimated Lifeline Eligible Households,Supportive Housing (NYCDHS),Low-Income Housing (NYCHA),Presence of IBZs,Number of NYCHA Buildings,Number of Public Schools,Number of DCAS Buildings,Number of NYC H+H Buildings,City Buildings with High Rooftops (7+ Floors) Capacity by Quartile,Street Furniture: FDNY Call Boxes,Street Furniture: Parking Pay Stations,Street Furniture: Bus Stop Shelters,Street Furniture: Bike Shelters,Street Furniture: City Benches,LinkNYC Kiosks,WalkNYC Sign Locations,Poles Reserved by Mobile Telecom Franchisee,Pole with Equipment Installed by Mobile Telecom Franchise,Density of Poles Reserved and with Equipment Installed for Mobile Telecom Franchise,Mobile Telecom Franchise Pole Density Level by Quartile,Empire City Subway Coverage (Percentage),Empire City Subway Coverage (Quartile),Percentage of Households with fewer than 3 broadband options available,Number of Fixed Wireless Providers Available,Estimated Aerial Plant Coverage (Percentage),Estimated Underground Plant Coverage (Percentage),Geographic Variations in Fiber Delivery Modes by NTA,Estimated Underground Utility Conflict Volume,Utility Pole Make-Ready - Estimated Required Number of Moves,Utility Pole Make-Ready - Estimated Relative Volume,NYC Internet Master Plan Open Access Infrastructure Cost Comparison Coefficient,NYC Internet Master Plan Open Access Infrastructure Cost Comparison Coefficient by Quartile,"Fiber Drops, Estimated Relative Costs","Indoor Cabling for Multiple Dwelling Units, Estimated  Relative Costs","Optimal for Unlicensed
Millimeter Wave Fixed Wireless Access as a Residential
Broadband Solution","Percentage Optimal for Unlicensed
Millimeter Wave Fixed Wireless Access as a Residential
Broadband Solution",Estimated number of radio sites for CBRS coverage,Estimated number of radio sites for mmWave coverage in optimal areas,Sample of NTA Field Surveyed? (Y/N),Reviewed for Underground Fiber-to-the-Premise? (Y/N),Reviewed for Aerial Fiber-to-the-Premise? (Y/N),Reviewed for Millimeter Wave Fixed Wireless Access? (Y/N),Field Survey Findings
BK82,East New York,Brooklyn,94448,22495.35,33393,4.2,123,0.67,Medium Low,0.74,Medium High,0.06,High,1.9,Medium Low,1.8,High,3,Medium High,0.11,Medium High,0.99,0.87,5,15,4,true,726,33393,34119,277,Medium Low,113552,2842,8813,110,6605,true,12,31,31,0,Medium High,301,28,33,0,15,4,1,24,32,0.46,Medium Low,0,N/A,0.99,2,0.6,0.71,Above and Underground Network,Average,4,Average,2.86,High,Average,Average,YES,0.17,102,2,YES,YES,YES,YES,"Average underground interference from existing utilities.  
Average make-ready requirements. Of the sample poles surveyed 66% required make-ready, and 17% required pole replacement. 
General findings for this area include; boxed utilities in some locations, and spacing issues with current utility attachments in the telecom space.
Additionally, some locations had power service drops and telecom service drops crossing in the same space without proper clearance between the two. 
Area suitable for fixed wireless."
BK83,Cypress Hills-City Line,Brooklyn,48899,49377.63,14481,0.99,39,0.7,Medium Low,0.77,High,0.04,Medium Low,2,Medium High,1.9,High,3,Medium High,0.02,Low,1,0.9,2,10,8,true,923,14481,15404,395,Medium Low,54861,671,3703,0,0,false,0,6,2,0,Medium Low,99,57,6,0,6,8,0,4,7,0.28,Low,0,N/A,0.96,2,0.81,0.58,Above and Underground Network,Average,4,Average,1.29,Medium High,Average,Average,NO,0.02,140,0,NO,NO,NO,NO,NONE
BK85,East New York (Pennsylvania Ave),Brooklyn,29447,42324.07,10270,0.7,26,0.6,Low,0.71,Medium High,0.08,High,1.8,Low,1.8,High,3,Medium High,0,Low,1,0.79,1,0,0,false,1040,10270,11310,435,Medium Low,33520,1366,2858,0,1555,true,2,14,5,1,Medium Low,80,0,17,0,6,0,0,4,18,0.85,Medium High,0,N/A,1,2,0.27,1,Above and Underground Network,Average,4,Average,0.95,Medium High,Average,Average,YES,0.2,56,29,NO,NO,NO,NO,NONE
BK88,Borough Park,Brooklyn,105913,54677.41,26710,1.94,59,0.42,Low,0.47,Low,0.06,High,2.5,Medium High,1.5,Medium-High,4,High,0.29,High,1,1,5,8,0,false,2590,26710,29300,497,Medium High,117080,1390,10543,0,0,false,0,13,13,0,Medium Low,112,227,23,0,13,0,0,21,25,0.78,Medium High,0,N/A,0.48,2,0.27,0.92,Above and Underground Network,Average,4.5,High,2.57,High,Average,Average,YES,0.1,130,51,NO,NO,NO,NO,NONE
BK90,East Williamsburg,Brooklyn,35985,25630.75,16075,1.4,43,0.72,Medium High,0.74,Medium High,0.05,Medium High,2.6,High,1.3,Medium-Low,3,Medium High,0.18,Medium High,1,1,3,22,18,true,2198,16075,18273,425,Medium Low,40041,616,2287,75,2839,true,6,7,4,1,Medium High,100,69,28,1,8,18,2,3,14,0.4,Low,0,N/A,0.35,1,0.07,0.47,Above and Underground Network,Average,4,Average,1.56,High,Average,Average,YES,0.56,78,23,NO,NO,NO,NO,NONE
BK91,East Flatbush-Farragut,Brooklyn,53535,43437.67,18443,1.23,38,0.73,Medium High,0.71,Medium High,0.04,Medium Low,2.9,High,1.2,Medium-Low,3,Medium High,0.08,Medium Low,1,1,2,7,5,true,948,18443,19391,510,Medium High,52416,576,2572,0,0,true,0,7,6,0,Medium Low,72,38,6,0,15,5,1,13,11,0.63,Medium High,0,N/A,0.08,1,0.48,0.7,Above and Underground Network,Average,4,Average,1.67,High,Average,Average,YES,0.06,64,40,NO,NO,NO,NO,NONE
BK93,Starrett City,Brooklyn,12388,29776.61,6485,0.42,12,0.56,Low,0.53,Low,0.06,High,1.2,Low,1.2,Low,2,Medium Low,0.71,High,1,0.13,1,0,0,false,185,6485,6670,556,Medium High,13957,683,1331,0,293,false,1,4,0,0,None,35,0,8,0,2,0,1,0,1,0.08,Low,0,N/A,0.99,2,0.05,0.64,Above and Underground Network,High,4.5,High,0.56,Medium Low,High,Low,YES,0.32,159,0,NO,NO,NO,NO,NONE
BK95,Erasmus,Brooklyn,29149,55959.26,10137,0.52,17,0.64,Medium Low,0.6,Low,0.06,High,2.2,Medium High,1.4,Medium-High,3,Medium High,0.31,High,1,1,0,12,11,true,1290,10137,11427,672,High,32506,532,2070,45,0,false,0,10,3,0,Low,45,76,10,0,7,11,2,3,11,0.82,Medium High,0,N/A,0.89,1,0.5,1,Above and Underground Network,Average,4.5,High,0.97,Medium High,Average,Average,YES,0.43,245,8,NO,NO,NO,NO,NONE
BK96,Rugby-Remsen Village,Brooklyn,55951,47693.66,20724,1.17,45,0.66,Medium Low,0.69,Medium Low,0.05,Medium High,2.8,High,1.2,Medium-Low,3,Medium High,0.15,Medium High,1,1,1,1,0,false,873,20724,21597,480,Medium High,60162,1038,3326,0,135,true,0,16,9,0,Medium Low,77,57,20,0,11,0,1,4,22,0.58,Medium Low,0,N/A,0.22,1,0.93,0.71,Above and Underground Network,Average,4.5,High,1.85,High,Average,Average,YES,0.08,130,4,NO,NO,NO,NO,NONE
BK99,park-cemetery-etc-Brooklyn,Brooklyn,93,,167,8.21,71,0.95,High,0.95,High,0.02,Low,1.7,Low,1.4,Medium-High,3,Medium High,0.72,UF,0.73,0.65,1,27,0,false,,,,,,,,,,,,,,,,,,,,,,,10,2,4,0.08,Low,,,,,,,,,,,,,,,,,,,,,,,
BX01,Claremont-Bathgate,Bronx,34815,58999.81,10996,0.59,27,0.55,Low,0.63,Low,0.07,High,1.6,Low,1.7,Medium-High,4,High,0.14,Medium High,1,0.51,2,4,2,true,806,10996,11802,437,Medium High,38258,1508,4760,69,4445,true,8,26,4,0,Medium High,72,15,11,0,7,1,2,17,28,1.67,High,0.44,Medium High,1,1,1,1,Above and Underground Network,Average,4,Average,0.13,Low,Average,Average,YES,0.93,107,38,NO,NO,NO,NO,NONE
BX03,Eastchester-Edenwald-Baychester,Bronx,35172,24358.51,11696,1.44,46,0.67,Medium Low,0.7,Medium Low,0.05,Medium High,1.9,Medium Low,1.4,Medium-High,3,Medium High,0.13,Medium High,1,0.86,2,9,0,false,606,11696,12302,267,Medium Low,38267,608,1881,0,4960,true,7,8,13,0,Medium High,102,27,25,0,3,0,0,6,33,0.85,Medium High,0.11,Low,0.98,1,0.96,0.02,Above and Underground Network,Average,4,Average,0.13,Low,Average,Average,YES,0.08,82,4,NO,NO,NO,NO,NONE
BX05,Bedford Park-Fordham North,Bronx,55995,104083.79,19329,0.54,23,0.57,Low,0.73,Medium High,0.09,High,1.7,Low,1.7,High,3,Medium High,0.1,Medium Low,1,0.74,3,23,12,true,1056,19329,20385,886,High,60601,1396,5394,0,0,false,0,4,4,0,Medium High,66,87,17,1,15,12,1,10,37,2.04,High,0,Zero,1,1,1,1,Above and Underground Network,High,4.5,High,0.21,Low,High,Low,YES,0.81,128,4,NO,NO,NO,NO,NONE
BX06,Belmont,Bronx,29372,60402.07,9214,0.49,21,0.54,Low,0.7,Medium Low,0.07,High,1.7,Low,1.6,Medium-High,4,High,0.17,Medium High,1,0.68,1,1,0,false,1059,9214,10273,489,Medium High,31859,998,3156,0,0,false,0,15,2,0,Medium Low,49,97,12,0,4,0,0,4,18,1.05,Medium High,0.14,Low,1,1,1,1,Above and Underground Network,Average,4.5,High,0.11,Low,Average,Average,YES,0.84,98,17,NO,NO,NO,NO,NONE
BX07,Bronxdale,Bronx,37595,69023.23,14143,0.54,19,0.61,Low,0.67,Low,0.07,High,1.9,Medium Low,1.5,Medium-High,3,Medium High,0.05,Medium Low,1,0.86,3,1,0,false,1028,14143,15171,798,High,40261,967,3234,68,2380,false,8,10,1,0,Medium Low,32,53,11,0,3,0,0,4,24,1.47,High,0.26,Medium Low,1,0,1,0.74,Above and Underground Network,High,4.5,High,0.16,Low,High,Low,YES,0.5,117,50,NO,NO,NO,NO,NONE
BX08,West Farms-Bronx River,Bronx,35752,66076.68,11884,0.54,25,0.58,Low,0.68,Medium Low,0.06,High,1.7,Low,1.4,Medium-High,2,Medium Low,0.26,High,1,0.7,2,1,0,false,589,11884,12473,499,Medium High,38349,1180,3900,0,1472,false,7,11,1,0,Medium Low,56,31,9,0,0,0,1,6,20,1.04,Medium High,0.16,Low,1,0,1,0.93,Above and Underground Network,High,4.5,High,0.13,Low,High,Low,YES,0.61,78,34,YES,YES,NO,YES,"High underground interference from existing utilities.  
Area suitable for fixed wireless."
BX09,Soundview-Castle Hill-Clason Point-Harding Park,Bronx,56552,30330.02,19211,1.86,75,0.68,Medium Low,0.66,Low,0.05,Medium High,1.7,Low,1.4,Medium-High,3,Medium High,0.21,High,1,0.71,3,3,0,false,395,19211,19606,261,Medium Low,58717,1280,5180,0,6459,true,11,23,14,0,Low,128,0,33,0,12,0,1,8,47,0.73,Medium High,0.08,Low,1,1,0.97,0.27,Above and Underground Network,Average,4,Average,0.21,Low,Average,Average,YES,0.28,44,21,YES,YES,NO,YES,"Average underground interference from existing utilities.  
Area suitable for fixed wireless."
BX10,Pelham Bay-Country Club-City Island,Bronx,26172,18179.39,11451,1.44,41,0.73,Medium High,0.69,Medium Low,0.04,Medium Low,1.9,Medium Low,1.1,Low,3,Medium High,0.15,Medium High,0.92,0.58,2,7,0,false,560,11451,12011,293,Medium Low,27561,235,855,0,179,false,1,2,13,0,Medium High,56,55,6,0,2,0,0,4,20,0.59,Medium Low,0.1,Low,1,0,0.86,0.29,Above and Underground Network,Average,4,Average,0.13,Low,Average,Average,YES,0.12,98,30,NO,NO,NO,NO,NONE
BX13,Co-op City,Bronx,48541,33974.33,19614,1.43,48,0.68,Medium Low,0.67,Low,0.04,Medium Low,1.4,Low,1.3,Medium-High,3,Medium High,0.43,High,0.98,0.43,2,1,0,false,433,19614,20047,418,Medium Low,44704,389,2835,0,538,true,3,12,7,0,Low,108,22,35,0,4,0,0,6,18,0.5,Medium Low,0.16,Low,1,0,1,0.49,Above and Underground Network,Average,4,Average,0.21,Low,Average,Average,YES,0.29,75,21,NO,NO,NO,NO,NONE
BX14,East Concourse-Concourse Village,Bronx,64516,98747.09,22399,0.65,27,0.58,Low,0.63,Low,0.06,High,1.7,Low,1.8,High,4,High,0.08,Medium Low,1,0.12,2,6,2,true,742,22399,23141,857,High,72125,1954,6821,464,1535,false,5,27,7,0,High,83,26,22,0,17,2,8,23,34,2.11,High,0.27,Medium Low,1,1,0.97,1,Above and Underground Network,High,4.5,High,0.24,Low,High,Low,YES,0.54,45,30,NO,NO,NO,NO,NONE
BX17,East Tremont,Bronx,44510,64447.07,15165,0.69,29,0.58,Low,0.66,Low,0.05,Medium High,1.8,Low,1.5,Medium-High,3,Medium High,0.12,Medium High,1,0.77,3,10,3,true,702,15165,15867,547,Medium High,56362,1660,5961,106,959,false,6,18,10,0,Medium High,85,33,12,0,6,1,1,9,38,1.62,High,0.32,Medium Low,0.99,0,1,0.97,Above and Underground Network,Average,4.5,High,0.16,Low,Average,Average,YES,0.88,32,24,NO,NO,NO,NO,NONE
BX22,North Riverdale-Fieldston-Riverdale,Bronx,27145,15429.75,10894,1.76,39,0.76,Medium High,0.72,Medium High,0.06,High,1.8,Low,1.3,Medium-Low,3,Medium High,0.11,Medium High,0.99,0.79,3,2,0,false,507,10894,11401,292,Medium Low,29987,131,565,0,0,false,0,3,7,0,Low,103,25,9,0,4,0,0,3,24,0.69,Medium High,0.14,Low,1,1,0.98,0.27,Above and Underground Network,Average,4,Average,0.12,Low,Average,Average,YES,0.39,90,42,NO,NO,NO,NO,NONE
BX26,Highbridge,Bronx,39144,66311.76,13442,0.59,30,0.56,Low,0.68,Medium Low,0.08,High,1.7,Low,1.8,High,3,Medium High,0.25,High,0.9,0.02,4,2,1,true,769,13442,14211,474,Medium High,46856,1187,4471,0,915,false,4,8,0,0,Medium High,52,12,7,0,4,1,1,9,29,1.27,High,0.15,Low,1,1,0.97,0.89,Above and Underground Network,Average,4.5,High,0.15,Low,Average,Average,YES,0.9,97,48,NO,NO,NO,NO,NONE
BX27,Hunts Point,Bronx,26531,14874.02,8428,1.78,56,0.56,Low,0.66,Low,0.05,Medium High,1.7,Low,1.4,Medium-High,3,Medium High,0.29,High,0.92,0.64,2,3,0,false,664,8428,9092,162,Low,32982,661,3197,0,525,true,1,11,2,0,Medium Low,121,26,17,0,11,0,3,17,36,0.95,Medium High,0.14,Low,1,1,0.75,0.93,Above and Underground Network,Low,3,Low,0.1,Low,Low,High,YES,0.34,69,14,YES,YES,YES,NO,"Average underground interference from existing utilities.  
Average to low make-ready requirements. Of the sample poles surveyed 37% required make-ready, and 12% required pole replacement. 
General findings for this area include; the presence of call boxes and low voltage wires on pole lines, and some locations had power service drops and telecom service drops crossing the roadway without proper clearance."
BX28,Van Cortlandt Village,Bronx,51157,55569.63,17920,0.92,30,0.67,Medium Low,0.73,Medium High,0.09,High,1.7,Low,1.6,Medium-High,3,Medium High,0.2,Medium High,1,0.67,3,4,1,true,936,17920,18856,629,Medium High,55804,1052,4234,0,344,false,2,19,2,0,Medium Low,63,38,27,0,7,1,0,14,30,1.47,High,0.26,Medium Low,1,0,1,0.87,Above and Underground Network,Average,4.5,High,0.2,Low,Average,Average,YES,0.8,111,38,NO,NO,NO,NO,NONE
BX29,Spuyten Duyvil-Kingsbridge,Bronx,31508,37840.91,13560,0.83,32,0.74,Medium High,0.72,Medium High,0.05,Medium High,1.7,Low,1.5,Medium-High,3,Medium High,0.2,Medium High,0.99,0.71,2,1,0,false,1107,13560,14667,458,Medium High,33584,275,987,0,3364,false,0,6,2,0,Low,65,111,13,0,5,0,0,1,26,0.84,Medium High,0.31,Medium Low,1,1,1,0.42,Above and Underground Network,Average,4.5,High,0.15,Low,Average,Average,YES,0.84,55,30,NO,NO,NO,NO,NONE
BX30,Kingsbridge Heights,Bronx,31294,66282.21,11023,0.47,17,0.61,Low,0.7,Medium Low,0.09,High,1.7,Low,1.8,High,3,Medium High,0.18,Medium High,0.98,0.69,0,11,10,true,863,11023,11886,699,High,38844,512,2809,56,233,false,1,4,3,0,None,40,35,16,0,5,10,0,11,21,1.88,High,0.24,Medium Low,1,1,1,0.89,Above and Underground Network,Average,4.5,High,0.13,Low,Average,Average,YES,0.83,90,38,NO,NO,NO,NO,NONE
BX31,Allerton-Pelham Gardens,Bronx,32450,28545.89,9452,1.14,37,0.7,Medium Low,0.74,Medium High,0.07,High,1.9,Medium Low,1.3,Medium-Low,3,Medium High,0.06,Medium Low,1,0.92,1,0,0,false,675,9452,10127,274,Medium Low,30869,378,1550,0,877,false,2,6,4,0,Medium Low,50,16,12,0,3,0,0,3,25,0.76,Medium High,0.08,Low,1,0,1,0,Above Ground (Utility Pole Presence),Average,4,Average,0.11,Low,Average,Average,NO,0.02,149,13,NO,NO,NO,NO,NONE
BX33,Longwood,Bronx,28961,75232.82,9105,0.38,15,0.65,Medium Low,0.69,Medium Low,0.05,Medium High,1.7,Low,1.7,High,4,High,0.18,Medium High,1,0.68,2,4,0,false,650,9105,9755,650,High,31317,850,3129,123,666,true,2,15,1,0,Medium High,47,5,9,0,4,0,4,10,18,1.87,High,0.33,Medium High,1,1,1,1,Above and Underground Network,Average,4.5,High,0.11,Low,Average,Average,YES,0.99,40,25,NO,NO,NO,NO,NONE
BX34,Melrose South-Mott Haven North,Bronx,43244,69804.19,14476,0.62,24,0.59,Low,0.66,Low,0.05,Medium High,1.7,Low,1.9,High,5,High,0.05,Low,1,0.72,3,27,25,true,760,14476,15236,635,Medium High,52246,1460,5163,63,4158,false,12,22,1,1,High,85,54,13,0,12,23,3,19,28,1.96,High,0.47,High,1,1,1,1,Above and Underground Network,Average,4.5,High,0.16,Low,Average,Average,YES,0.94,90,4,NO,NO,NO,NO,NONE
BX35,Morrisania-Melrose,Bronx,39939,65919.7,13976,0.61,24,0.61,Low,0.67,Low,0.06,High,1.8,Low,1.6,Medium-High,4,High,0.12,Medium High,1,0.79,3,6,3,true,664,13976,14640,610,Medium High,51743,1242,4360,256,0,false,7,20,6,0,Medium Low,76,0,15,0,13,2,3,5,28,1.38,High,0.4,Medium High,1,1,1,1,Above and Underground Network,Average,4.5,High,0.15,Low,Average,Average,YES,1,37,26,NO,NO,NO,NO,NONE
BX36,University Heights-Morris Heights,Bronx,55575,72895.38,19202,0.76,37,0.57,Low,0.7,Medium Low,0.07,High,1.6,Low,1.8,High,4,High,0.31,High,0.93,0.56,4,8,6,true,725,19202,19927,539,Medium High,65993,1723,6899,259,1348,false,5,14,3,0,Low,73,17,17,0,12,6,0,16,36,1.41,High,0.19,Medium Low,1,1,0.96,0.89,Above and Underground Network,High,4.5,High,0.21,Low,High,Low,YES,0.66,53,43,NO,NO,NO,NO,NONE
BX37,Van Nest-Morris Park-Westchester Square,Bronx,29509,22662.2,9846,1.3,44,0.66,Medium Low,0.72,Medium High,0.08,High,1.8,Low,1.5,Medium-High,3,Medium High,0.27,High,0.98,0.8,3,7,0,false,1143,9586,10729,244,Low,37908,551,2228,0,0,false,0,7,8,0,Medium High,41,93,21,0,8,0,0,4,38,0.95,Medium High,0.29,Medium Low,1,1,1,0.43,Above and Underground Network,Low,3,Low,0.12,Low,Low,High,YES,0.21,45,35,NO,NO,NO,NO,NONE
BX39,Mott Haven-Port Morris,Bronx,55080,36651.17,18727,1.5,60,0.56,Low,0.67,Low,0.07,High,1.6,Low,2.2,High,5,High,0.15,Medium High,0.98,0.56,6,41,26,true,674,18727,19401,323,Medium Low,66973,1860,7488,194,7829,true,18,31,10,2,Medium High,126,33,26,0,13,22,5,41,52,1.55,High,0.23,Medium Low,1,2,0.83,0.92,Above and Underground Network,Average,4,Average,0.21,Low,Average,Average,YES,0.85,71,50,NO,NO,NO,NO,NONE
BX40,Fordham South,Bronx,28434,125654.72,8871,0.23,11,0.59,Low,0.69,Medium Low,0.1,High,1.5,Low,1.7,High,3,Medium High,0.07,Medium Low,1,0.55,0,9,8,true,885,8871,9756,887,High,32957,1113,3634,0,312,false,1,10,1,0,Medium Low,37,56,8,0,9,8,1,8,17,2.27,High,0.45,Medium High,1,0,1,1,Above and Underground Network,High,4.5,High,0.11,Low,High,Low,YES,0.56,64,47,NO,NO,NO,NO,NONE
BX41,Mount Hope,Bronx,52973,100354.44,17211,0.53,28,0.6,Low,0.71,Medium High,0.07,High,1.5,Low,1.6,Medium-High,3,Medium High,0.17,Medium High,1,0.53,2,21,18,true,794,17211,18005,643,Medium High,64514,1401,6254,67,0,true,0,10,2,0,Medium High,69,26,17,1,12,15,1,17,28,1.61,High,0.29,Medium Low,1,1,1,1,Above and Underground Network,Average,4.5,High,0.19,Low,Average,Average,YES,0.72,36,31,NO,NO,NO,NO,NONE
BX43,Norwood,Bronx,42666,75646.01,14770,0.56,21,0.64,Medium Low,0.68,Medium Low,0.08,High,1.6,Low,1.8,High,3,Medium High,0.21,Medium High,1,0.65,3,11,0,false,1110,14770,15880,756,High,44087,1362,4410,0,0,false,0,10,2,1,Medium High,48,86,16,0,12,0,0,11,28,1.86,High,0.31,Medium Low,1,1,1,1,Above and Underground Network,High,4.5,High,0.17,Low,High,Low,YES,0.86,30,21,NO,NO,NO,NO,NONE
BX44,Williamsbridge-Olinville,Bronx,65043,49992.26,21796,1.3,41,0.63,Low,0.68,Medium Low,0.05,Medium High,2,Medium Low,1.7,Medium-High,3,Medium High,0.01,Low,1,0.96,2,3,0,false,831,21796,22627,552,Medium High,65769,1606,4771,0,733,false,5,15,13,0,Medium High,110,55,13,0,1,0,1,5,32,0.9,Medium High,0.32,Medium Low,1,0,1,0.18,Above and Underground Network,Average,4,Average,0.24,Low,Average,Average,YES,0.34,47,34,NO,NO,NO,NO,NONE
BX46,Parkchester,Bronx,30826,93572.03,12747,0.33,13,0.73,Medium High,0.69,Medium Low,0.05,Medium High,1.8,Low,1.4,Medium-High,3,Medium High,0.24,High,1,0.75,2,1,0,false,1075,12747,13822,1063,High,31601,521,1711,0,0,false,0,4,0,0,Low,33,75,16,0,2,0,1,3,12,1.15,High,0.31,Medium Low,1,0,1,0.98,Above and Underground Network,High,4.5,High,0.14,Low,High,Low,YES,0.42,46,46,NO,NO,NO,NO,NONE
BX49,Pelham Parkway,Bronx,29947,36251.9,11337,0.83,33,0.64,Medium Low,0.71,Medium High,0.09,High,1.8,Low,1.6,Medium-High,3,Medium High,0.12,Medium High,1,0.81,2,1,0,false,1175,11337,12512,379,Medium Low,32957,260,1559,0,0,false,0,7,1,2,Medium Low,24,76,29,0,1,0,0,8,27,1.06,Medium High,0.13,Low,1,0,1,0.4,Above and Underground Network,Average,4,Average,0.13,Low,Average,Average,YES,0.45,40,29,NO,NO,NO,NO,NONE
BX52,Schuylerville-Throgs Neck-Edgewater Park,Bronx,47580,14999.22,16436,3.17,95,0.69,Medium Low,0.69,Medium Low,0.07,High,1.8,Low,1.3,Medium-Low,4,High,0.23,High,0.98,0.74,4,10,0,false,643,16436,17079,180,Low,44586,487,1839,0,1724,false,4,16,25,0,Low,104,91,16,0,9,0,0,0,62,0.65,Medium High,0.12,Low,1,0,0.94,0,Above and Underground Network,Low,3,Low,0.18,Low,Low,High,YES,0.04,45,25,NO,NO,NO,NO,NONE
BX55,Soundview-Bruckner,Bronx,37866,64952.98,11738,0.58,22,0.58,Low,0.68,Medium Low,0.06,High,1.8,Low,1.6,Medium-High,3,Medium High,0.1,Medium Low,1,0.78,0,0,0,false,592,11738,12330,560,Medium High,39222,1131,3964,149,1675,false,4,7,3,0,Low,56,27,5,0,3,0,1,6,23,1.32,High,0.34,Medium High,1,0,1,0.96,Above and Underground Network,Average,4.5,High,0.13,Low,Average,Average,YES,0.59,29,26,NO,NO,NO,NO,NONE
BX59,Westchester-Unionport,Bronx,28437,33109.9,9225,0.86,36,0.67,Medium Low,0.7,Medium Low,0.04,Medium Low,1.8,Low,1.6,Medium-High,4,High,0.13,Medium High,1,0.78,1,1,0,false,896,9225,10121,281,Medium Low,31621,707,2166,0,132,true,1,2,15,0,Low,56,52,12,0,2,0,0,6,22,0.78,Medium High,0.2,Medium Low,1,0,1,0.39,Above and Underground Network,Average,4,Average,0.11,Low,Average,Average,YES,0.34,52,0,NO,NO,NO,NO,NONE
BX62,Woodlawn-Wakefield,Bronx,44064,30914.49,14944,1.43,45,0.66,Medium Low,0.67,Low,0.08,High,2,Medium High,1.4,Medium-High,3,Medium High,0.09,Medium Low,1,0.91,2,3,0,false,513,14944,15457,343,Medium Low,46033,881,2140,60,0,false,0,5,5,0,Low,114,49,11,0,1,0,0,1,35,0.8,Medium High,0.19,Medium Low,0.97,1,0.99,0,Above and Underground Network,Average,4,Average,0.16,Low,Average,Average,YES,0.14,40,0,YES,YES,YES,YES,"Average underground interference from existing utilities.  
Low make-ready requirements. Of the sample poles surveyed 36% required make-ready, and 0% required pole replacement. 
General findings for this area include; the presence of call boxes and low voltage wires on pole lines and spacing issues with current utility attachments in the telecom space.
Additionally, some locations had telecom service drops crossing the roadway without proper clearance. 
Area suitable for fixed wireless."
BX63,West Concourse,Bronx,37395,53777.07,13185,0.7,34,0.59,Low,0.69,Medium Low,0.09,High,1.5,Low,2.1,High,4,High,0.06,Medium Low,0.91,0.22,1,40,20,true,816,13185,14001,412,Medium Low,56175,1140,4435,180,0,false,0,10,3,1,Medium High,59,61,8,0,6,20,19,18,35,1.56,High,0.19,Medium Low,0.98,2,0.69,0.91,Above and Underground Network,Average,4,Average,0.15,Low,Average,Average,YES,0.73,67,44,NO,NO,NO,NO,NONE
BX75,Crotona Park East,Bronx,21745,37148.33,7806,0.59,25,0.57,Low,0.69,Medium Low,0.04,Medium Low,1.6,Low,1.5,Medium-High,3,Medium High,0.28,High,1,0.64,1,0,0,false,579,7806,8385,335,Medium Low,33488,723,2566,46,513,false,1,16,0,0,Medium High,48,0,10,0,13,0,0,2,15,0.68,Medium High,0.17,Low,1,0,1,0.87,Above and Underground Network,Average,4,Average,0.09,Low,Average,Average,YES,0.92,64,15,NO,NO,NO,NO,NONE
BX98,Rikers Island,Bronx,12780,19661.53,0,0.65,16,0,Low,0,Low,0,Low,1,Low,1,Low,1,Low,0.96,High,0.07,0.04,0,0,0,false,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
BX99,park-cemetery-etc-Bronx,Bronx,540,68.18,137,7.92,117,0.72,Medium High,0.69,Medium Low,0.09,High,1.1,Low,1.3,Medium-Low,3,Medium High,0.83,High,0.74,0.06,0,34,0,false,,,,,,,,,,,,,,,,,,,,,,,0,11,15,0.22,Low,,,,,,,,,,,,,,,,,,,,,,,
